time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-17T17:22:03.840Z,32.877,-116.2991667,0.31,1.16,ml,21,119,0.07747,0.26,ci,ci39666424,2020-10-17T17:25:58.624Z,earthquake,0.56,31.61,0.138,22,automatic,ci,ci
2020-10-17T17:17:29.980Z,34.1611667,-116.452,2.75,0.87,ml,17,66,0.05224,0.22,ci,ci39666408,2020-10-17T17:21:15.514Z,earthquake,0.35,0.61,0.148,18,automatic,ci,ci
2020-10-17T17:14:49.410Z,19.20999908,-155.4593353,36.79000092,2.26999998,md,45,107,,0.100000001,hv,hv72184916,2020-10-17T17:18:01.080Z,earthquake,0.6,0.959999979,1.66999996,18,automatic,hv,hv
2020-10-17T17:03:54.460Z,33.5396667,-116.4613333,8.66,0.63,ml,18,126,0.06084,0.16,ci,ci39666384,2020-10-17T17:07:44.440Z,earthquake,0.37,0.67,0.174,11,automatic,ci,ci
2020-10-17T16:55:01.080Z,63.254,-151.5232,8,1.4,ml,,,,0.9,ak,ak020ddj8ml4,2020-10-17T16:58:43.827Z,earthquake,,0.4,,,automatic,ak,ak
2020-10-17T16:43:44.530Z,36.0723333,-117.8886667,5.6,0.89,ml,9,173,0.05281,0.15,ci,ci39666360,2020-10-17T16:47:26.138Z,earthquake,0.53,0.99,0.204,12,automatic,ci,ci
2020-10-17T16:42:04.010Z,32.8988333,-115.88,8.86,1.29,ml,17,68,0.07598,0.23,ci,ci39666352,2020-10-17T16:45:51.583Z,earthquake,0.53,0.98,0.144,22,automatic,ci,ci
2020-10-17T16:27:08.870Z,33.948,-116.3886667,1.99,1.26,ml,36,64,0.01823,0.23,ci,ci39666328,2020-10-17T16:30:50.027Z,earthquake,0.26,0.37,0.233,25,automatic,ci,ci
2020-10-17T16:21:30.490Z,18.0236,-66.7951,17,2.43,md,21,125,0.0971,0.14,pr,pr2020291006,2020-10-17T16:40:36.829Z,earthquake,0.49,0.32,0.26,15,reviewed,pr,pr
2020-10-17T16:05:37.220Z,32.753,-115.8158333,7.91,1.19,ml,14,61,0.122,0.15,ci,ci39666296,2020-10-17T16:21:48.176Z,earthquake,0.32,0.89,0.274,12,reviewed,ci,ci
2020-10-17T15:54:02.880Z,35.6676667,-117.4743333,6.02,1.59,ml,25,112,0.08159,0.15,ci,ci39666280,2020-10-17T16:22:10.464Z,earthquake,0.32,0.91,0.161,26,reviewed,ci,ci
2020-10-17T15:38:01.177Z,60.186,-152.8277,97.2,0.4,ml,,,,0.33,ak,ak020ddijn2t,2020-10-17T15:40:15.717Z,earthquake,,1.3,,,automatic,ak,ak
